1 0.023
2 0.275
3 0.72
4 1.388
5 2.142
6 2.947
7 4.189
8 5.21
9 6.23
10 7.49
11 8.809
12 9.993
13 11.396
14 12.513
15 14.124
16 15.307
17 16.785
18 18.224
19 19.552
20 21.093
